AvgMeanTime(ms), Sever InnerTime
0.0,1.911274
0.590716,2.242238
12.680293,2.194134
12.24311,2.147287
13.510583,2.506759
13.164535,2.435922
12.923125,2.370512
13.07247,2.309549
13.247091,2.256433
13.886205,2.198706
14.20044,2.13266
13.975461,2.06109
14.257165,1.990585
13.806282,1.92294
13.866699,1.868277
14.000097,1.809238
14.082743,1.7589
14.105886,1.711498
13.743431,1.658572
13.633767,1.610164
13.50864,1.563826
13.666268,1.883029
13.328334,1.817176
13.242225,1.756433
13.400414,1.695708
12.937328,1.637872
12.780383,1.592406
12.693838,1.540644
12.574461,1.494915
12.33156,1.446114
12.355165,1.397868
12.041273,1.363148
12.223398,1.320839
12.218179,1.283654
12.469456,1.244159
13.045151,1.213719
13.248093,1.178896
13.258467,1.146504
13.177715,1.119723
13.420623,1.093502
13.605632,1.298759
13.713672,1.25874
13.593623,1.220904
13.663989,1.182949
13.580528,1.146451
13.78488,1.118606
13.976329,1.089743
13.943799,1.064455
13.7114,1.040382
14.023636,1.016914
13.761866,0.998007
14.610905,0.977023
14.305428,0.95129
15.258292,0.928042
15.835558,0.905949
15.428932,0.891246
15.012991,0.871311
15.013524,0.855862
14.974363,0.837734
14.86915,0.820412
14.882633,0.801608
14.693631,0.785807
14.897137,0.768489
14.901543,0.75412
14.795909,0.749364
14.708988,0.74168
14.840977,0.726182
36.848735,0.710922
35.619572,0.695781
34.32471,0.680653
33.089548,0.671071
32.875029,0.658526
31.617736,0.646518
30.521046,1.003964
29.838396,1.135164
28.67468,1.097885
27.747679,1.058334
26.919969,1.022296
26.266304,0.980724
25.672482,0.950098
25.007202,0.918903
24.373849,0.890789
23.998884,0.864709
23.70383,0.838541
23.41718,0.815851
22.899634,0.792591
22.355333,0.768896
21.744011,0.746052
28.541323,0.726491
27.801919,0.708243
27.094511,0.688547
26.363539,0.674629
25.626642,0.657424
24.936777,0.63335
24.172347,0.611827
23.246609,0.59838
22.496175,0.5847
21.630685,0.572803
20.842594,0.561905
20.326331,0.549532
19.581624,0.53839
18.984334,0.527682
18.326233,0.519127
17.844661,0.508991
17.586143,0.499306
17.626312,0.490153
17.842173,0.479546
17.664706,0.47511
17.383302,0.467693
16.821029,0.460191
16.966619,0.45311
16.663597,0.44851
16.461925,0.443138
16.182904,0.439118
16.099458,0.433532
16.007983,0.427373
15.93475,0.421653
15.886063,0.415836
15.842749,0.409749
15.598738,0.408588
15.761409,0.404488
15.764901,0.398367
23.889795,0.414862
23.67403,0.704009
23.164542,0.681636
22.22568,0.661735
21.482145,0.643665
21.083947,0.625972
20.584615,0.608439
19.770154,0.592172
19.392306,0.578242
18.993885,0.56297
18.267259,0.550293
18.015433,0.538003
17.720652,0.527852
17.060028,0.514031
16.762236,0.500303
17.036384,0.490764
16.501949,0.483153
16.207566,0.475114
16.005165,0.463635
15.445265,0.455389
15.286307,0.739948
14.822014,0.941812
14.740734,1.200037
14.580758,1.152053
14.374416,1.107126
14.099558,1.059568
13.869347,1.01967
13.620025,0.982943
13.390922,0.947942
13.196662,0.914682
12.989929,0.883699
12.985049,0.848238
12.764275,0.814902
12.342408,0.788152
12.053677,0.763427
12.000963,0.74113
12.025571,0.720418
11.952543,0.695211
11.571153,0.674946
11.512224,0.653452
12.172462,0.635256
17.656975,0.619488
17.478144,0.599066
16.851502,0.585636
16.336477,0.57339
15.904079,0.560098
15.337311,0.546401
14.792049,0.528199
